# galuboy patch-array antenna pattern
# N=16  fov_in=50.0  fov_out=70.0  floor=-20.0 dB  G_max=12.04 dBi
# az/el are offsets from boresight in degrees.
az_deg,el_deg,gain_dbi
-165,-50,-20.000
-165,-45,-20.000
-165,-40,-20.000
-165,-35,-20.000
-165,-30,-20.000
-165,-25,-20.000
-165,-20,-20.000
-165,-15,-20.000
-165,-10,-20.000
-165,-5,-20.000
-165,0,-20.000
-165,5,-20.000
-165,10,-20.000
-165,15,-20.000
-165,20,-20.000
-165,25,-20.000
-165,30,-20.000
-165,35,-20.000
-165,40,-20.000
-165,45,-20.000
-165,50,-20.000
-165,55,-20.000
-165,60,-20.000
-165,65,-20.000
-165,70,-20.000
-165,75,-20.000
-165,80,-20.000
-165,85,-20.000
-165,90,-20.000
-160,-90,-20.000
-160,-85,-20.000
-160,-80,-20.000
-160,-75,-20.000
-160,-70,-20.000
-160,-65,-20.000
-160,-60,-20.000
-160,-55,-20.000
-160,-50,-20.000
-160,-45,-20.000
-160,-40,-20.000
-160,-35,-20.000
-160,-30,-20.000
-160,-25,-20.000
-160,-20,-20.000
-160,-15,-20.000
-160,-10,-20.000
-160,-5,-20.000
-160,0,-20.000
-160,5,-20.000
-160,10,-20.000
-160,15,-20.000
-160,20,-20.000
-160,25,-20.000
-160,30,-20.000
-160,35,-20.000
-160,40,-20.000
-160,45,-20.000
-160,50,-20.000
-160,55,-20.000
-160,60,-20.000
-160,65,-20.000
-160,70,-20.000
-160,75,-20.000
-160,80,-20.000
-160,85,-20.000
-160,90,-20.000
-155,-90,-20.000
-155,-85,-20.000
-155,-80,-20.000
-155,-75,-20.000
-155,-70,-20.000
-155,-65,-20.000
-155,-60,-20.000
-155,-55,-20.000
-155,-50,-20.000
-155,-45,-20.000
-155,-40,-20.000
-155,-35,-20.000
-155,-30,-20.000
-155,-25,-20.000
-155,-20,-20.000
-155,-15,-20.000
-155,-10,-20.000
-155,-5,-20.000
-155,0,-20.000
-155,5,-20.000
-155,10,-20.000
-155,15,-20.000
-155,20,-20.000
-155,25,-20.000
-155,30,-20.000
-155,35,-20.000
-155,40,-20.000
-155,45,-20.000
-155,50,-20.000
-155,55,-20.000
-155,60,-20.000
-155,65,-20.000
-155,70,-20.000
-155,75,-20.000
-155,80,-20.000
-155,85,-20.000
-155,90,-20.000
-150,-90,-20.000
-150,-85,-20.000
-150,-80,-20.000
-150,-75,-20.000
-150,-70,-20.000
-150,-65,-20.000
-150,-60,-20.000
-150,-55,-20.000
-150,-50,-20.000
-150,-45,-20.000
-150,-40,-20.000
-150,-35,-20.000
-150,-30,-20.000
-150,-25,-20.000
-150,-20,-20.000
-150,-15,-20.000
-150,-10,-20.000
-150,-5,-20.000
-150,0,-20.000
-150,5,-20.000
-150,10,-20.000
-150,15,-20.000
-150,20,-20.000
-150,25,-20.000
-150,30,-20.000
-150,35,-20.000
-150,40,-20.000
-150,45,-20.000
-150,50,-20.000
-150,55,-20.000
-150,60,-20.000
-150,65,-20.000
-150,70,-20.000
-150,75,-20.000
-150,80,-20.000
-150,85,-20.000
-150,90,-20.000
-145,-90,-20.000
-145,-85,-20.000
-145,-80,-20.000
-145,-75,-20.000
-145,-70,-20.000
-145,-65,-20.000
-145,-60,-20.000
-145,-55,-20.000
-145,-50,-20.000
-145,-45,-20.000
-145,-40,-20.000
-145,-35,-20.000
-145,-30,-20.000
-145,-25,-20.000
